('Barrie Youngfellow', '/wiki/Barrie_Youngfellow')
('Felicity Huffman', '/wiki/Felicity_Huffman')
('Karen Sillas', '/wiki/Karen_Sillas')
('Larisa Oleynik', '/wiki/Larisa_Oleynik')
('Joan Bennett', '/wiki/Joan_Bennett')
('Sigourney Weaver', '/wiki/Sigourney_Weaver')
('Paula Kelly (actress)', '/wiki/Paula_Kelly_(actress)')
('Nicole Eggert', '/wiki/Nicole_Eggert')
('Lorraine Nicholson', '/wiki/Lorraine_Nicholson')
('Katharine Ross', '/wiki/Katharine_Ross')
('Anna Camp', '/wiki/Anna_Camp')
('Cara Buono', '/wiki/Cara_Buono')
('Amy Brenneman', '/wiki/Amy_Brenneman')
('Monet Mazur', '/wiki/Monet_Mazur')
('Patti LuPone', '/wiki/Patti_LuPone')
('Whoopi Goldberg', '/wiki/Whoopi_Goldberg')
('Arnetia Walker', '/wiki/Arnetia_Walker')
('Janet Jackson', '/wiki/Janet_Jackson')
('Emily Procter', '/wiki/Emily_Procter')
('Kelly McGillis', '/wiki/Kelly_McGillis')
("Renee O'Connor", '/wiki/Renee_O%27Connor')('Heather Burns', '/wiki/Heather_Burns')
('Dagmara Dominczyk', '/wiki/Dagmara_Dominczyk')
('Mary Boland', '/wiki/Mary_Boland')
('Margarita Levieva', '/wiki/Margarita_Levieva')
('Pamela Sue Martin', '/wiki/Pamela_Sue_Martin')
('Yasmine Bleeth', '/wiki/Yasmine_Bleeth')
('Bonnie Hunt', '/wiki/Bonnie_Hunt')
('Karen Sharpe', '/wiki/Karen_Sharpe')
('Angela Cartwright', '/wiki/Angela_Cartwright')
('Sierra McCormick', '/wiki/Sierra_McCormick')
('Jane Powell', '/wiki/Jane_Powell')
('Beah Richards', '/wiki/Beah_Richards')
('Marian Seldes', '/wiki/Marian_Seldes')
('Marina Sirtis', '/wiki/Marina_Sirtis')
('Helen Twelvetrees', '/wiki/Helen_Twelvetrees')
('Lana Wood', '/wiki/Lana_Wood')
('Sally Field', '/wiki/Sally_Field')
('Sally Forrest', '/wiki/Sally_Forrest')
('Jean Acker', '/wiki/Jean_Acker')
('Candice Azzara', '/wiki/Candice_Azzara')
('Susan Hayward', '/wiki/Susan_Hayward')
('Camilla Belle', '/wiki/Camilla_Belle')
('Shar Jackson', '/wiki/Shar_Jackson')
('B. J. Ward (actress)', '/wiki/B._J._Ward_(actress)')
('Nicholle Tom', '/wiki/Nicholle_Tom')
('Pamela Tiffin', '/wiki/Pamela_Tiffin')
('Traylor Howard', '/wiki/Traylor_Howard')
('Katie Cassidy', '/wiki/Katie_Cassidy')
('Leelee Sobieski', '/wiki/Leelee_Sobieski')
("Erin O'Brien-Moore", '/wiki/Erin_O%27Brien-Moore')('Lola Glaudini', '/wiki/Lola_Glaudini')
('Parker Posey', '/wiki/Parker_Posey')
('Kiele Sanchez', '/wiki/Kiele_Sanchez')
('Eva Gabor', '/wiki/Eva_Gabor')
('Kimberly Beck', '/wiki/Kimberly_Beck')
('Olympia Dukakis', '/wiki/Olympia_Dukakis')
('Patricia Arquette', '/wiki/Patricia_Arquette')
('Keri Lynn Pratt', '/wiki/Keri_Lynn_Pratt')
('Sally Blane', '/wiki/Sally_Blane')
('Priscilla Lane', '/wiki/Priscilla_Lane')
('Kelly Hu', '/wiki/Kelly_Hu')
('Paris Hilton', '/wiki/Paris_Hilton')
('Francia Raisa', '/wiki/Francia_Raisa')
('Kristen Schaal', '/wiki/Kristen_Schaal')
('Sarah Silverman', '/wiki/Sarah_Silverman')
('Allison Williams (actress)', '/wiki/Allison_Williams_(actress)')
('Debbi Morgan', '/wiki/Debbi_Morgan')
('Barbara Billingsley', '/wiki/Barbara_Billingsley')
('Brittany Daniel', '/wiki/Brittany_Daniel')
('Lori Petty', '/wiki/Lori_Petty')
('Lela Rochon', '/wiki/Lela_Rochon')
('Sabrina Bryan', '/wiki/Sabrina_Bryan')
('Shawna Waldron', '/wiki/Shawna_Waldron')
('Ashley Scott', '/wiki/Ashley_Scott')
('Jill Eikenberry', '/wiki/Jill_Eikenberry')
('Tiffany Thiessen', '/wiki/Tiffany_Thiessen')
('Lyndsy Fonseca', '/wiki/Lyndsy_Fonseca')
('Jacqueline Gadsden', '/wiki/Jacqueline_Gadsden')
('A. J. Langer', '/wiki/A._J._Langer')
('Fiona Gubelmann', '/wiki/Fiona_Gubelmann')
('Camryn Manheim', '/wiki/Camryn_Manheim')
('Karen Kopins', '/wiki/Karen_Kopins')
('Natalie Talmadge', '/wiki/Natalie_Talmadge')
('Ginger Rogers', '/wiki/Ginger_Rogers')
('Elisabeth Shue', '/wiki/Elisabeth_Shue')
('Jamie Marchi', '/wiki/Jamie_Marchi')
('Geraldine Brooks (actress)', '/wiki/Geraldine_Brooks_(actress)')
('Grayson Hall', '/wiki/Grayson_Hall')
('Collin Wilcox (actress)', '/wiki/Collin_Wilcox_(actress)')
('Tracey Ullman', '/wiki/Tracey_Ullman')
('Michelle Williams (actress)', '/wiki/Michelle_Williams_(actress)')
('Joan Cusack', '/wiki/Joan_Cusack')
('Melissa Bolona', '/wiki/Melissa_Bolona')
('Bridget Fonda', '/wiki/Bridget_Fonda')
('Loni Anderson', '/wiki/Loni_Anderson')
('Pat Woodell', '/wiki/Pat_Woodell')
('Anise Boyer', '/wiki/Anise_Boyer')
('Susie Essman', '/wiki/Susie_Essman')
('Lupe Ontiveros', '/wiki/Lupe_Ontiveros')
('Rumer Willis', '/wiki/Rumer_Willis')
('Virginia Weidler', '/wiki/Virginia_Weidler')
('Krista Allen', '/wiki/Krista_Allen')
('Jane Curtin', '/wiki/Jane_Curtin')
('Connie Hines', '/wiki/Connie_Hines')
('Tess Harper', '/wiki/Tess_Harper')
('Mary Astor', '/wiki/Mary_Astor')
('Gina Gershon', '/wiki/Gina_Gershon')
('Jennifer Stone', '/wiki/Jennifer_Stone')
('Joanna Moore', '/wiki/Joanna_Moore')
('Sharon Leal', '/wiki/Sharon_Leal')
('Meredith Scott Lynn', '/wiki/Meredith_Scott_Lynn')
('Claudia Christian', '/wiki/Claudia_Christian')
('Emily Deschanel', '/wiki/Emily_Deschanel')
('Kimberly J. Brown', '/wiki/Kimberly_J._Brown')
('Torrey DeVitto', '/wiki/Torrey_DeVitto')
('Jasmine Cephas Jones', '/wiki/Jasmine_Cephas_Jones')
('Joan Lorring', '/wiki/Joan_Lorring')
('Marnette Patterson', '/wiki/Marnette_Patterson')
('Kelly Rowland', '/wiki/Kelly_Rowland')
('Joi Lansing', '/wiki/Joi_Lansing')
('Mamie Van Doren', '/wiki/Mamie_Van_Doren')
('Bea Benaderet', '/wiki/Bea_Benaderet')
('Lisa Darr', '/wiki/Lisa_Darr')
('Dee Wallace', '/wiki/Dee_Wallace')
('Bonnie Bedelia', '/wiki/Bonnie_Bedelia')
('Cher', '/wiki/Cher')
('Sarah Hyland', '/wiki/Sarah_Hyland')
('Anna Kendrick', '/wiki/Anna_Kendrick')
('Amy Poehler', '/wiki/Amy_Poehler')
('Brandy Norwood', '/wiki/Brandy_Norwood')
('Kristen Johnston', '/wiki/Kristen_Johnston')
('Julie Adams', '/wiki/Julie_Adams')
('Scarlett Estevez', '/wiki/Scarlett_Estevez')
('Yancy Butler', '/wiki/Yancy_Butler')
('Karina Lombard', '/wiki/Karina_Lombard')
('Louisa Krause', '/wiki/Louisa_Krause')
('Debbie Allen', '/wiki/Debbie_Allen')
('Estelle Parsons', '/wiki/Estelle_Parsons')
('Jenna Elfman', '/wiki/Jenna_Elfman')
('Tasha Smith', '/wiki/Tasha_Smith')
('Kaitlyn Dever', '/wiki/Kaitlyn_Dever')
('Spring Byington', '/wiki/Spring_Byington')
('Brooke Langton', '/wiki/Brooke_Langton')
('Courtney Love', '/wiki/Courtney_Love')
('Mandy Moore', '/wiki/Mandy_Moore')
('Linda Park', '/wiki/Linda_Park')
('Peggy Moran', '/wiki/Peggy_Moran')
('Jennifer Sky', '/wiki/Jennifer_Sky')
('Jamie Lee Curtis', '/wiki/Jamie_Lee_Curtis')
('Leslie Browne', '/wiki/Leslie_Browne')
('Glenne Headly', '/wiki/Glenne_Headly')
('Colleen Clinkenbeard', '/wiki/Colleen_Clinkenbeard')
('Kathy Ireland', '/wiki/Kathy_Ireland')
('Allison Mack', '/wiki/Allison_Mack')
('Cybill Shepherd', '/wiki/Cybill_Shepherd')
('Elaine Joyce', '/wiki/Elaine_Joyce')
('Amy Smart', '/wiki/Amy_Smart')
('Kelli Giddish', '/wiki/Kelli_Giddish')
('Summer Glau', '/wiki/Summer_Glau')
('Jodie Markell', '/wiki/Jodie_Markell')
('Liza Minnelli', '/wiki/Liza_Minnelli')
('Ana Ortiz', '/wiki/Ana_Ortiz')
('Maggie Grace', '/wiki/Maggie_Grace')
('Taylor Cole', '/wiki/Taylor_Cole')
('Taylor Schilling', '/wiki/Taylor_Schilling')
('Carla Gugino', '/wiki/Carla_Gugino')
('Danielle Harris', '/wiki/Danielle_Harris')
('Veronica Webb', '/wiki/Veronica_Webb')
('Margaret Sullavan', '/wiki/Margaret_Sullavan')
('Jeri Ryan', '/wiki/Jeri_Ryan')
('Schuyler Fisk', '/wiki/Schuyler_Fisk')
('Lois Smith', '/wiki/Lois_Smith')
('Lola Kirke', '/wiki/Lola_Kirke')
('Christa Campbell', '/wiki/Christa_Campbell')
('Melissa De Sousa', '/wiki/Melissa_De_Sousa')
('Shelley Duvall', '/wiki/Shelley_Duvall')
('Sara Rue', '/wiki/Sara_Rue')
('Jo Van Fleet', '/wiki/Jo_Van_Fleet')
('Martha Smith', '/wiki/Martha_Smith')
('Jennifer Hale', '/wiki/Jennifer_Hale')
('Terri J. Vaughn', '/wiki/Terri_J._Vaughn')
('Sarah Lancaster', '/wiki/Sarah_Lancaster')
('Patricia Richardson', '/wiki/Patricia_Richardson')
('Clea DuVall', '/wiki/Clea_DuVall')
('Lori Saunders', '/wiki/Lori_Saunders')
('Erin Cummings', '/wiki/Erin_Cummings')
('Annette Charles', '/wiki/Annette_Charles')
('Beverly Wills', '/wiki/Beverly_Wills')
('Jessica Simpson', '/wiki/Jessica_Simpson')
('Alexis Arquette', '/wiki/Alexis_Arquette')
('Kelly Stables', '/wiki/Kelly_Stables')
('Meredith MacRae', '/wiki/Meredith_MacRae')
('Amanda Bearse', '/wiki/Amanda_Bearse')
('Tamlyn Tomita', '/wiki/Tamlyn_Tomita')
('Dianne Wiest', '/wiki/Dianne_Wiest')
('Megan Mullally', '/wiki/Megan_Mullally')
('Sarah Sokolovic', '/wiki/Sarah_Sokolovic')
('Lauren Holly', '/wiki/Lauren_Holly')
('Alyssa Diaz', '/wiki/Alyssa_Diaz')
('Kimberly Elise', '/wiki/Kimberly_Elise')
('Christina Applegate', '/wiki/Christina_Applegate')
('Shirley Jones', '/wiki/Shirley_Jones')
('Reba McEntire', '/wiki/Reba_McEntire')
('Marlee Matlin', '/wiki/Marlee_Matlin')
('January Jones', '/wiki/January_Jones')
('Marsha Warfield', '/wiki/Marsha_Warfield')
('Dedee Pfeiffer', '/wiki/Dedee_Pfeiffer')
('Barbara Lawrence', '/wiki/Barbara_Lawrence')
('Susan Peters', '/wiki/Susan_Peters')
('Donna Douglas', '/wiki/Donna_Douglas')
('Rhonda Fleming', '/wiki/Rhonda_Fleming')
('Hala Finley', '/wiki/Hala_Finley')
('Wanda De Jesus', '/wiki/Wanda_De_Jesus')
('Shareeka Epps', '/wiki/Shareeka_Epps')
('Brenda Strong', '/wiki/Brenda_Strong')
('Melissa Joan Hart', '/wiki/Melissa_Joan_Hart')
('Eileen Brennan', '/wiki/Eileen_Brennan')
('Donna Mills', '/wiki/Donna_Mills')
('Marion Ramsey', '/wiki/Marion_Ramsey')
('Mila Kunis', '/wiki/Mila_Kunis')
('Christina Aguilera', '/wiki/Christina_Aguilera')
('Kimberly McCullough', '/wiki/Kimberly_McCullough')
('Audrey Hepburn', '/wiki/Audrey_Hepburn')
('Kathleen Beller', '/wiki/Kathleen_Beller')
('Constance Marie', '/wiki/Constance_Marie')
('Laura Prepon', '/wiki/Laura_Prepon')
('Adrienne Shelly', '/wiki/Adrienne_Shelly')
('Dorothy Dandridge', '/wiki/Dorothy_Dandridge')
('Liv Tyler', '/wiki/Liv_Tyler')
('Barbara Perry (actress)', '/wiki/Barbara_Perry_(actress)')
('Nadia Dajani', '/wiki/Nadia_Dajani')
('Maidie Norman', '/wiki/Maidie_Norman')
('Lilan Bowden', '/wiki/Lilan_Bowden')
('Conchata Ferrell', '/wiki/Conchata_Ferrell')
('Mitzi Kapture', '/wiki/Mitzi_Kapture')
('Vernee Watson-Johnson', '/wiki/Vernee_Watson-Johnson')
('Maria Pitillo', '/wiki/Maria_Pitillo')
('Mary Martin', '/wiki/Mary_Martin')
('Maria Dizzia', '/wiki/Maria_Dizzia')
('Janet Margolin', '/wiki/Janet_Margolin')
('Karen Steele', '/wiki/Karen_Steele')
('Lucy Liu', '/wiki/Lucy_Liu')
('Sarah Michelle Gellar', '/wiki/Sarah_Michelle_Gellar')
('Jenny McCarthy', '/wiki/Jenny_McCarthy')
('Meg Tilly', '/wiki/Meg_Tilly')
('Laura Bailey', '/wiki/Laura_Bailey')
('Jamie Anne Allman', '/wiki/Jamie_Anne_Allman')
('Alanna Ubach', '/wiki/Alanna_Ubach')
('Barbara Kent', '/wiki/Barbara_Kent')
('Mitzi Hoag', '/wiki/Mitzi_Hoag')
('Jami Gertz', '/wiki/Jami_Gertz')
('Tiffany Dupont', '/wiki/Tiffany_Dupont')
('Janet Waldo', '/wiki/Janet_Waldo')
('Bonnie Somerville', '/wiki/Bonnie_Somerville')
('Lee Grant', '/wiki/Lee_Grant')
("Tatum O'Neal", '/wiki/Tatum_O%27Neal')('Lindsay Crouse', '/wiki/Lindsay_Crouse')
('Zsa Zsa Gabor', '/wiki/Zsa_Zsa_Gabor')
('Grace Kelly', '/wiki/Grace_Kelly')
('Anne Archer', '/wiki/Anne_Archer')
('Patricia Clarkson', '/wiki/Patricia_Clarkson')
('Vivica A. Fox', '/wiki/Vivica_A._Fox')
('Andrea Martin', '/wiki/Andrea_Martin')
('Catherine Bach', '/wiki/Catherine_Bach')
('Melanie Mayron', '/wiki/Melanie_Mayron')
('Mercedes McCambridge', '/wiki/Mercedes_McCambridge')
('Bryce Dallas Howard', '/wiki/Bryce_Dallas_Howard')
('Louise Fletcher', '/wiki/Louise_Fletcher')
('Ashley Rickards', '/wiki/Ashley_Rickards')
('Olivia Munn', '/wiki/Olivia_Munn')
('Judy Reyes', '/wiki/Judy_Reyes')
('Marsha Hunt (actress, born 1917)', '/wiki/Marsha_Hunt_(actress,_born_1917)')
('Kim Coles', '/wiki/Kim_Coles')
('Jennette McCurdy', '/wiki/Jennette_McCurdy')
('Beverley Mitchell', '/wiki/Beverley_Mitchell')
('Elinor Donahue', '/wiki/Elinor_Donahue')
('Nancy Kwan', '/wiki/Nancy_Kwan')
('Sherri Shepherd', '/wiki/Sherri_Shepherd')
('Ciara', '/wiki/Ciara')
('Priscilla Barnes', '/wiki/Priscilla_Barnes')
('Jodi Benson', '/wiki/Jodi_Benson')
('Jeanne Crain', '/wiki/Jeanne_Crain')
('Susan Ward', '/wiki/Susan_Ward')
('Susan Kohner', '/wiki/Susan_Kohner')
('Jenna Fischer', '/wiki/Jenna_Fischer')
('Helen Hayes', '/wiki/Helen_Hayes')
('Britt Robertson', '/wiki/Britt_Robertson')
('Bo Derek', '/wiki/Bo_Derek')
('Arlene Dahl', '/wiki/Arlene_Dahl')
('Jessica Capshaw', '/wiki/Jessica_Capshaw')
('Ann-Margret', '/wiki/Ann-Margret')
('Theresa Merritt', '/wiki/Theresa_Merritt')
('Noel Neill', '/wiki/Noel_Neill')
('Dianna Agron', '/wiki/Dianna_Agron')
('Liliana Mumy', '/wiki/Liliana_Mumy')
("Rosie O'Donnell", '/wiki/Rosie_O%27Donnell')('Susan Oliver', '/wiki/Susan_Oliver')
('Denise Crosby', '/wiki/Denise_Crosby')
('Vera-Ellen', '/wiki/Vera-Ellen')
('Maria Ford', '/wiki/Maria_Ford')
('Christine Taylor', '/wiki/Christine_Taylor')
('Delta Burke', '/wiki/Delta_Burke')
('Rebecca De Mornay', '/wiki/Rebecca_De_Mornay')
('Jenilee Harrison', '/wiki/Jenilee_Harrison')
('Chyler Leigh', '/wiki/Chyler_Leigh')
('Lizzy Caplan', '/wiki/Lizzy_Caplan')
('Tina Louise', '/wiki/Tina_Louise')
('Minna Gombell', '/wiki/Minna_Gombell')
('Novella Nelson', '/wiki/Novella_Nelson')
('Alisan Porter', '/wiki/Alisan_Porter')
('Hedy Lamarr', '/wiki/Hedy_Lamarr')
('Polly Draper', '/wiki/Polly_Draper')
('CCH Pounder', '/wiki/CCH_Pounder')
('Barbara Crampton', '/wiki/Barbara_Crampton')
('Minnie Driver', '/wiki/Minnie_Driver')
('Sharon Hugueny', '/wiki/Sharon_Hugueny')
('Katey Sagal', '/wiki/Katey_Sagal')
('Ashley Olsen', '/wiki/Ashley_Olsen')
('Sanoe Lake', '/wiki/Sanoe_Lake')
('Rebecca Romijn', '/wiki/Rebecca_Romijn')
('Season Hubley', '/wiki/Season_Hubley')
('Pam Dawber', '/wiki/Pam_Dawber')
('Natalie Schafer', '/wiki/Natalie_Schafer')
('Margot Kidder', '/wiki/Margot_Kidder')
('Margo Harshman', '/wiki/Margo_Harshman')
('Gwen Verdon', '/wiki/Gwen_Verdon')
('Jane Withers', '/wiki/Jane_Withers')
('Abigail Spencer', '/wiki/Abigail_Spencer')
('Laura Post', '/wiki/Laura_Post')
('Autumn Reeser', '/wiki/Autumn_Reeser')
('Valerie Perrine', '/wiki/Valerie_Perrine')
('Jere Fields', '/wiki/Jere_Fields')
('Cheryl Ladd', '/wiki/Cheryl_Ladd')
('Frances Bavier', '/wiki/Frances_Bavier')
('Alexa Davalos', '/wiki/Alexa_Davalos')
('Patricia Neal', '/wiki/Patricia_Neal')
('Amy Locane', '/wiki/Amy_Locane')
('Emily Meade', '/wiki/Emily_Meade')
('Lucille Ball', '/wiki/Lucille_Ball')
('Evan Rachel Wood', '/wiki/Evan_Rachel_Wood')
('Alison Lohman', '/wiki/Alison_Lohman')
('Jessica Alba', '/wiki/Jessica_Alba')
('Sarah Paulson', '/wiki/Sarah_Paulson')
('Agnes Moorehead', '/wiki/Agnes_Moorehead')
('Florence Stanley', '/wiki/Florence_Stanley')
('Meredith Monroe', '/wiki/Meredith_Monroe')
('Betty Compson', '/wiki/Betty_Compson')
('Shelley Morrison', '/wiki/Shelley_Morrison')
('Lili Taylor', '/wiki/Lili_Taylor')
('Marlene Warfield', '/wiki/Marlene_Warfield')
('Suzy Parker', '/wiki/Suzy_Parker')
('Raven-Symoné', '/wiki/Raven-Symon%C3%A9')
('Priscilla Dean', '/wiki/Priscilla_Dean')
('Grace Van Patten', '/wiki/Grace_Van_Patten')
('Diane Keaton', '/wiki/Diane_Keaton')
('Ann B. Davis', '/wiki/Ann_B._Davis')
('Beverly Garland', '/wiki/Beverly_Garland')
('Hudson Leick', '/wiki/Hudson_Leick')
('Rosalind Russell', '/wiki/Rosalind_Russell')
('Katerina Graham', '/wiki/Katerina_Graham')
('Amber Smith', '/wiki/Amber_Smith')
('Shelley Hennig', '/wiki/Shelley_Hennig')
('Carrie Snodgress', '/wiki/Carrie_Snodgress')
('Adrienne King', '/wiki/Adrienne_King')
('Lacey Chabert', '/wiki/Lacey_Chabert')
('Ariana Richards', '/wiki/Ariana_Richards')
('JoJo (singer)', '/wiki/JoJo_(singer)')
('Megan Ward', '/wiki/Megan_Ward')
('Kim Hamilton', '/wiki/Kim_Hamilton')
('Jordana Brewster', '/wiki/Jordana_Brewster')
('Jennifer Jason Leigh', '/wiki/Jennifer_Jason_Leigh')
('Janel Parrish', '/wiki/Janel_Parrish')
('Yvette Vickers', '/wiki/Yvette_Vickers')
('Alexandra Breckenridge', '/wiki/Alexandra_Breckenridge')
('Jenifer Lewis', '/wiki/Jenifer_Lewis')
('Lillian Adams', '/wiki/Lillian_Adams')
('Tanya Roberts', '/wiki/Tanya_Roberts')
('Constance Cummings', '/wiki/Constance_Cummings')
('Fredi Washington', '/wiki/Fredi_Washington')
('Gaby Hoffmann', '/wiki/Gaby_Hoffmann')
('Jenny Slate', '/wiki/Jenny_Slate')
('Lady Gaga', '/wiki/Lady_Gaga')
("Maureen O'Sullivan", '/wiki/Maureen_O%27Sullivan')('Gladys George', '/wiki/Gladys_George')
('Erin Sanders', '/wiki/Erin_Sanders')
('Jamie-Lynn Sigler', '/wiki/Jamie-Lynn_Sigler')
('Billie Burke', '/wiki/Billie_Burke')
('Michelle Williams (singer)', '/wiki/Michelle_Williams_(singer)')
('Elizabeth Rice', '/wiki/Elizabeth_Rice')
('Ashley Spillers', '/wiki/Ashley_Spillers')
('Joey Lauren Adams', '/wiki/Joey_Lauren_Adams')
('Bettye Ackerman', '/wiki/Bettye_Ackerman')
('Estelle Evans', '/wiki/Estelle_Evans')
('Martha Hackett', '/wiki/Martha_Hackett')
('Jada Pinkett Smith', '/wiki/Jada_Pinkett_Smith')
('Phylicia Rashad', '/wiki/Phylicia_Rashad')
('Willa Holland', '/wiki/Willa_Holland')
('Danielle Fishel', '/wiki/Danielle_Fishel')
('Cassie Ventura', '/wiki/Cassie_Ventura')
('LisaRaye McCoy', '/wiki/LisaRaye_McCoy')
("Ahna O'Reilly", '/wiki/Ahna_O%27Reilly')('Sarah Jessica Parker', '/wiki/Sarah_Jessica_Parker')
('Dania Ramirez', '/wiki/Dania_Ramirez')
('Anne Lockhart (actress)', '/wiki/Anne_Lockhart_(actress)')
('Krysten Ritter', '/wiki/Krysten_Ritter')
('Michelle Monaghan', '/wiki/Michelle_Monaghan')
('Jonelle Allen', '/wiki/Jonelle_Allen')
('Mara Corday', '/wiki/Mara_Corday')
('Blake Lively', '/wiki/Blake_Lively')
('Lillian Gish', '/wiki/Lillian_Gish')
('Florence Henderson', '/wiki/Florence_Henderson')
('Daphne Zuniga', '/wiki/Daphne_Zuniga')
('Carroll Baker', '/wiki/Carroll_Baker')
('Oprah Winfrey', '/wiki/Oprah_Winfrey')
('Janet Varney', '/wiki/Janet_Varney')
('AnnaSophia Robb', '/wiki/AnnaSophia_Robb')
('Lauren German', '/wiki/Lauren_German')
('Andrea Leeds', '/wiki/Andrea_Leeds')
('Joan Caulfield', '/wiki/Joan_Caulfield')
('Mary Stuart Masterson', '/wiki/Mary_Stuart_Masterson')
('Ariel Winter', '/wiki/Ariel_Winter')
('Tyne Daly', '/wiki/Tyne_Daly')
('Hedda Hopper', '/wiki/Hedda_Hopper')
('Kristin Davis', '/wiki/Kristin_Davis')
('Patricia Heaton', '/wiki/Patricia_Heaton')
('Leah Remini', '/wiki/Leah_Remini')
('Cristine Rose', '/wiki/Cristine_Rose')
('Charlotte Rae', '/wiki/Charlotte_Rae')
('Jennifer Lawrence', '/wiki/Jennifer_Lawrence')
('Jorja Fox', '/wiki/Jorja_Fox')
('Elizabeth Banks', '/wiki/Elizabeth_Banks')
('Ali MacGraw', '/wiki/Ali_MacGraw')
('Joyce Van Patten', '/wiki/Joyce_Van_Patten')
('Clare Carey', '/wiki/Clare_Carey')
('Malin Åkerman', '/wiki/Malin_%C3%85kerman')
('Beth Howland', '/wiki/Beth_Howland')
('Kent King', '/wiki/Kent_King')
('Piper Laurie', '/wiki/Piper_Laurie')
('Dawn Rochelle Warner', '/wiki/Dawn_Rochelle_Warner')
('Heather McDonald', '/wiki/Heather_McDonald')
('Sandra Kerns', '/wiki/Sandra_Kerns')
('Kira Buckland', '/wiki/Kira_Buckland')
('Christina Hendricks', '/wiki/Christina_Hendricks')
('Beyoncé Knowles', '/wiki/Beyonc%C3%A9_Knowles')
('Gwyneth Paltrow', '/wiki/Gwyneth_Paltrow')
('Shirley Booth', '/wiki/Shirley_Booth')
('Mary Kay Adams', '/wiki/Mary_Kay_Adams')
('Lauren Ambrose', '/wiki/Lauren_Ambrose')
('Chelsea Brown', '/wiki/Chelsea_Brown')
('Christine Elise McCarthy', '/wiki/Christine_Elise_McCarthy')
('Kyle Richards', '/wiki/Kyle_Richards')
('Arlene Golonka', '/wiki/Arlene_Golonka')
('Uma Thurman', '/wiki/Uma_Thurman')
('Tania Raymonde', '/wiki/Tania_Raymonde')
('Cassandra Lee Morris', '/wiki/Cassandra_Lee_Morris')
('Christy Carlson Romano', '/wiki/Christy_Carlson_Romano')
('Taylor Momsen', '/wiki/Taylor_Momsen')
('Tyra Banks', '/wiki/Tyra_Banks')
('Mary Elizabeth Mastrantonio', '/wiki/Mary_Elizabeth_Mastrantonio')
('Elena Verdugo', '/wiki/Elena_Verdugo')
('Alexis Bledel', '/wiki/Alexis_Bledel')
('Brooke Burns', '/wiki/Brooke_Burns')
('Leslie Silva', '/wiki/Leslie_Silva')
('Lisa Eilbacher', '/wiki/Lisa_Eilbacher')
('Carole Ita White', '/wiki/Carole_Ita_White')
('Joan Hackett', '/wiki/Joan_Hackett')
('June Allyson', '/wiki/June_Allyson')
('Pam Grier', '/wiki/Pam_Grier')
('June MacCloy', '/wiki/June_MacCloy')
('Kelly Rutherford', '/wiki/Kelly_Rutherford')
('Selma Blair', '/wiki/Selma_Blair')
('Gloria Swanson', '/wiki/Gloria_Swanson')
('Amy Ryan', '/wiki/Amy_Ryan')
('Ann Dvorak', '/wiki/Ann_Dvorak')
('Kathryn McGuire', '/wiki/Kathryn_McGuire')
('Kate French', '/wiki/Kate_French')
('Annabella Sciorra', '/wiki/Annabella_Sciorra')
('Kate Burton (actress)', '/wiki/Kate_Burton_(actress)')
('Leah Pipes', '/wiki/Leah_Pipes')
('Casey Wilson', '/wiki/Casey_Wilson')
('Deborah Yates', '/wiki/Deborah_Yates')
('Renée Jones', '/wiki/Ren%C3%A9e_Jones')
('Alexandra Daddario', '/wiki/Alexandra_Daddario')
('Anita Louise', '/wiki/Anita_Louise')
('Debby Ryan', '/wiki/Debby_Ryan')
('Robin Tunney', '/wiki/Robin_Tunney')
('Dana Davis', '/wiki/Dana_Davis')
('Janeane Garofalo', '/wiki/Janeane_Garofalo')
('Bree Walker', '/wiki/Bree_Walker')
('Jo Ann Pflug', '/wiki/Jo_Ann_Pflug')
('Molly Sims', '/wiki/Molly_Sims')
('Leven Rambin', '/wiki/Leven_Rambin')
('Tracey E. Bregman', '/wiki/Tracey_E._Bregman')
('Mariska Hargitay', '/wiki/Mariska_Hargitay')
("Gail O'Grady", '/wiki/Gail_O%27Grady')('Bianca Santos', '/wiki/Bianca_Santos')
('Jan Sterling', '/wiki/Jan_Sterling')
('Angela Lansbury', '/wiki/Angela_Lansbury')
('Dreama Walker', '/wiki/Dreama_Walker')
('Marie Dressler', '/wiki/Marie_Dressler')
('Julie Benz', '/wiki/Julie_Benz')
('Jeanne Carmen', '/wiki/Jeanne_Carmen')
('Carol Lynley', '/wiki/Carol_Lynley')
('Awkwafina', '/wiki/Awkwafina')
('Gia Scala', '/wiki/Gia_Scala')
('Esther Williams', '/wiki/Esther_Williams')
('Diane Venora', '/wiki/Diane_Venora')
('Regina King', '/wiki/Regina_King')
('Elizabeth Olsen', '/wiki/Elizabeth_Olsen')
('Lindsay Sloane', '/wiki/Lindsay_Sloane')
('Abby Wilde', '/wiki/Abby_Wilde')
('Wanda Hawley', '/wiki/Wanda_Hawley')
('Beverly Aadland', '/wiki/Beverly_Aadland')
('Sandra Dee', '/wiki/Sandra_Dee')
('Diane McBain', '/wiki/Diane_McBain')
('Jennifer Runyon', '/wiki/Jennifer_Runyon')
('Ann Sothern', '/wiki/Ann_Sothern')
('Octavia Spencer', '/wiki/Octavia_Spencer')
('Shelley Fabares', '/wiki/Shelley_Fabares')
('Sheryl Underwood', '/wiki/Sheryl_Underwood')
('Elise Neal', '/wiki/Elise_Neal')
